model;creation;solution
sandwich_attr;4;21
sandwich_attr;4;21
sandwich_attr;4;23
sandwich_attr;4;23
sandwich_attr;5;21
sandwich_attr;5;21
sandwich_attr;5;21
sandwich_attr;6;21
sandwich_attr;4;21
sandwich_attr;4;24
sandwich_attr;6;20
sandwich_attr;4;21
sandwich_attr;5;22
sandwich_attr;5;20
sandwich_attr;5;21
sandwich_attr;5;23
sandwich_count_attr;4;55
sandwich_count_attr;4;23
sandwich_count_attr;5;24
sandwich_count_attr;5;22
sandwich_count_attr;6;23
sandwich_count_attr;7;22
sandwich_count_attr;6;21
sandwich_count_attr;5;22
sandwich_count_attr;4;21
sandwich_count_attr;5;26
sandwich_count_attr;3;23
sandwich_count_attr;5;22
sandwich_count_attr;5;21
sandwich_count_attr;6;21
sandwich_count_attr;4;25
sandwich_count_attr;3;22
sandwich_count_attr;5;21
sandwich_count_attr;4;23
sandwich_count_attr;4;24
sandwich_count_attr;4;24
sandwich_count_attr;4;23
sandwich_count_attr;6;22
sandwich_count_attr;3;22
sandwich_count_attr;4;25
sandwich_count_attr;7;22
sandwich_count_attr;6;21
sandwich_count_attr;5;24
sandwich_count_attr;6;21
sandwich_count_attr;4;23
sandwich_count_attr;6;22
sandwich_count_attr;4;22
sandwich_count_attr;3;22
sandwich_count_attr;5;21
sandwich_count_attr;3;23
sandwich_count_attr;6;22
sandwich_count_attr;4;21
sandwich_count_attr;4;22
sandwich_count_attr;5;22
sandwich_count_attr;4;21
sandwich_count_attr;5;22
sandwich_count_attr;5;21
sandwich_count_attr;4;23
sandwich_count_attr;4;24
sandwich_count_attr;3;23
sandwich_count_attr;4;25
sandwich_count_attr;6;22
sandwich_count_attr;4;22
sandwich_count_attr;3;24
sandwich_count_attr;5;21
sandwich_count_attr;4;22
sandwich_count_attr;3;22
sandwich_count_attr;3;23
sandwich_count_attr;4;22
sandwich_count_attr;6;21
sandwich_count_attr;4;25
sandwich_count_attr;6;22
sandwich_count_attr;3;24
sandwich_count_attr;4;22
sandwich_count_attr;4;25
sandwich_count_attr;4;24
sandwich_count_attr;5;27
sandwich_count_attr;4;23
sandwich_count_attr;3;27
sandwich_count_attr;3;23
sandwich_count_attr;5;22
sandwich_count_attr;3;25
sandwich_count_attr;5;22
sandwich_count_attr;4;23
sandwich_count_attr;5;26
sandwich_count_attr;6;23
sandwich_count_attr;4;24
sandwich_count_attr;5;24
sandwich_count_attr;4;22
sandwich_count_attr;5;21
sandwich_count_attr;4;24
sandwich_count_attr;4;23
sandwich_count_attr;3;24
sandwich_count_attr;4;23
sandwich_count_attr;5;23
sandwich_count_attr;4;21
sandwich_count_attr;5;22
sandwich_count_attr;5;23
sandwich_count_attr;4;23
sandwich_count_attr;4;23
sandwich_count_attr;3;23
sandwich_count_attr;3;25
sandwich_count_attr;6;22
sandwich_count_attr;4;21
sandwich_count_attr;4;21
sandwich_count_attr;3;23
sandwich_count_attr;4;23
sandwich_count_attr;4;24
sandwich_count_attr;4;21
sandwich_count_attr;3;24
sandwich_count_attr;4;24
sandwich_count_attr;4;22
sandwich_count_attr;5;24
sandwich_count_attr;5;23
sandwich_count_attr;3;22
sandwich_count_attr;5;21
webserver;113;13
webserver;2;16
webserver;2;15
webserver;4;13
webserver;6;15
webserver;3;14
webserver;3;14
webserver;4;14
webserver;3;14
webserver;3;16
webserver;5;14
webserver;3;14
webserver;3;16
webserver;3;14
webserver;3;15
webserver;3;15
webserver;3;17
webserver;3;16
webserver;3;14
webserver;4;16
webserver;3;15
webserver;3;16
webserver;3;16
webserver;3;16
webserver;5;15
webserver;3;14
webserver;3;16
webserver;3;16
webserver;4;15
webserver;4;16
webserver;4;15
webserver;4;17
webserver;3;14
webserver;6;15
webserver;4;14
webserver;3;14
webserver;3;17
webserver;6;16
webserver;3;15
webserver;3;15
webserver;3;16
webserver;3;16
webserver;3;16
webserver;7;18
webserver;4;16
webserver;3;16
webserver;3;16
webserver;4;16
webserver;3;15
webserver;3;15
webserver;3;15
webserver;3;14
webserver;3;15
webserver;4;15
webserver;4;14
webserver;3;15
webserver;3;16
webserver;3;14
webserver;2;15
webserver;4;15
webserver;5;14
webserver;3;15
webserver;3;14
webserver;4;13
webserver;4;15
webserver;3;15
webserver;3;15
webserver;3;15
webserver;3;14
webserver;3;17
webserver;2;14
webserver;4;16
webserver;4;15
webserver;3;15
webserver;5;15
webserver;3;16
webserver;3;15
webserver;2;16
webserver;5;15
webserver;4;16
webserver;3;16
webserver;3;14
webserver;4;15
webserver;2;14
webserver;4;16
webserver;5;14
webserver;4;13
webserver;3;14
webserver;3;14
webserver;3;14
webserver;4;13
webserver;2;15
webserver;2;14
webserver;3;14
webserver;3;14
webserver;3;14
webserver;2;15
webserver;2;14
webserver;3;13
webserver;3;13
webserver_attr;3;86
webserver_attr;3;17
webserver_attr;3;17
webserver_attr;3;17
webserver_attr;3;16
webserver_attr;3;16
webserver_attr;3;17
webserver_attr;4;19
webserver_attr;3;18
webserver_attr;4;16
webserver_attr;3;16
webserver_attr;2;16
webserver_attr;3;16
webserver_attr;4;17
webserver_attr;3;17
webserver_attr;3;16
webserver_attr;3;18
webserver_attr;3;16
webserver_attr;3;16
webserver_attr;4;17
webserver_attr;3;17
webserver_attr;3;17
webserver_attr;3;16
webserver_attr;3;18
webserver_attr;3;20
webserver_attr;3;17
webserver_attr;4;18
webserver_attr;2;17
webserver_attr;3;19
webserver_attr;3;17
webserver_attr;3;17
webserver_attr;3;19
webserver_attr;5;19
webserver_attr;4;18
webserver_attr;4;18
webserver_attr;4;19
webserver_attr;2;20
webserver_attr;4;20
webserver_attr;3;19
webserver_attr;4;18
webserver_attr;3;19
webserver_attr;3;17
webserver_attr;3;18
webserver_attr;3;17
webserver_attr;3;18
webserver_attr;3;19
webserver_attr;5;21
webserver_attr;3;19
webserver_attr;4;18
webserver_attr;5;23
webserver_attr;4;19
webserver_attr;4;19
webserver_attr;5;20
webserver_attr;3;23
webserver_attr;4;18
webserver_attr;2;17
webserver_attr;2;18
webserver_attr;4;18
webserver_attr;4;17
webserver_attr;3;18
webserver_attr;3;18
webserver_attr;2;20
webserver_attr;3;18
webserver_attr;5;18
webserver_attr;4;18
webserver_attr;3;19
webserver_attr;3;19
webserver_attr;4;18
webserver_attr;5;18
webserver_attr;3;20
webserver_attr;4;17
webserver_attr;2;17
webserver_attr;3;18
webserver_attr;4;18
webserver_attr;3;17
webserver_attr;3;19
webserver_attr;3;18
webserver_attr;3;17
webserver_attr;3;18
webserver_attr;3;18
webserver_attr;4;20
webserver_attr;4;18
webserver_attr;3;18
webserver_attr;4;19
webserver_attr;4;19
webserver_attr;4;18
webserver_attr;4;19
webserver_attr;3;19
webserver_attr;3;17
webserver_attr;3;17
webserver_attr;4;19
webserver_attr;2;17
webserver_attr;3;20
webserver_attr;6;19
webserver_attr;3;19
webserver_attr;3;19
webserver_attr;4;20
webserver_attr;3;19
webserver_attr;3;19
webserver_attr;5;19
webserver_count_attr;4;19
webserver_count_attr;4;19
webserver_count_attr;5;18
webserver_count_attr;4;21
webserver_count_attr;3;18
webserver_count_attr;3;21
webserver_count_attr;5;19
webserver_count_attr;4;19
webserver_count_attr;3;19
webserver_count_attr;5;20
webserver_count_attr;4;19
webserver_count_attr;3;20
webserver_count_attr;3;19
webserver_count_attr;4;18
webserver_count_attr;3;20
webserver_count_attr;4;19
webserver_count_attr;3;18
webserver_count_attr;3;19
webserver_count_attr;3;19
webserver_count_attr;2;20
webserver_count_attr;3;19
webserver_count_attr;2;19
webserver_count_attr;3;20
webserver_count_attr;4;19
webserver_count_attr;4;20
webserver_count_attr;4;19
webserver_count_attr;5;20
webserver_count_attr;4;19
webserver_count_attr;4;21
webserver_count_attr;4;20
webserver_count_attr;3;19
webserver_count_attr;4;20
webserver_count_attr;3;19
webserver_count_attr;3;19
webserver_count_attr;3;19
webserver_count_attr;3;19
webserver_count_attr;4;18
webserver_count_attr;5;21
webserver_count_attr;3;19
webserver_count_attr;3;20
webserver_count_attr;5;19
webserver_count_attr;3;20
webserver_count_attr;2;21
webserver_count_attr;3;19
webserver_count_attr;3;19
webserver_count_attr;3;20
webserver_count_attr;4;19
webserver_count_attr;4;21
webserver_count_attr;3;18
webserver_count_attr;4;21
webserver_count_attr;4;19
webserver_count_attr;3;19
webserver_count_attr;4;19
webserver_count_attr;2;19
webserver_count_attr;3;20
webserver_count_attr;4;21
webserver_count_attr;4;20
webserver_count_attr;3;19
webserver_count_attr;3;19
webserver_count_attr;4;18
webserver_count_attr;5;23
webserver_count_attr;4;19
webserver_count_attr;3;19
webserver_count_attr;4;19
webserver_count_attr;4;20
webserver_count_attr;5;20
webserver_count_attr;4;20
webserver_count_attr;3;20
webserver_count_attr;4;19
webserver_count_attr;3;21
webserver_count_attr;3;21
webserver_count_attr;2;20
webserver_count_attr;3;19
webserver_count_attr;3;20
webserver_count_attr;3;21
webserver_count_attr;4;22
webserver_count_attr;5;24
webserver_count_attr;5;22
webserver_count_attr;3;21
webserver_count_attr;3;18
webserver_count_attr;4;19
webserver_count_attr;4;20
webserver_count_attr;5;19
webserver_count_attr;3;20
webserver_count_attr;4;21
webserver_count_attr;5;21
webserver_count_attr;4;20
webserver_count_attr;5;21
webserver_count_attr;5;20
webserver_count_attr;5;23
webserver_count_attr;5;20
webserver_count_attr;4;18
webserver_count_attr;3;18
webserver_count_attr;3;21
webserver_count_attr;4;20
webserver_count_attr;4;18
webserver_count_attr;2;19
webserver_count_attr;3;20
webserver_count_attr;3;19
webserver_count_attr;3;21
webserver_count_constraints_attr;5;61
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;5;22
webserver_count_constraints_attr;4;21
webserver_count_constraints_attr;4;18
webserver_count_constraints_attr;4;29
webserver_count_constraints_attr;4;21
webserver_count_constraints_attr;3;19
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;6;23
webserver_count_constraints_attr;4;23
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;5;25
webserver_count_constraints_attr;4;21
webserver_count_constraints_attr;4;22
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;3;21
webserver_count_constraints_attr;4;19
webserver_count_constraints_attr;5;23
webserver_count_constraints_attr;3;21
webserver_count_constraints_attr;3;18
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;3;21
webserver_count_constraints_attr;3;19
webserver_count_constraints_attr;3;19
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;4;22
webserver_count_constraints_attr;5;21
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;5;25
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;4;21
webserver_count_constraints_attr;6;20
webserver_count_constraints_attr;4;22
webserver_count_constraints_attr;5;19
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;4;21
webserver_count_constraints_attr;4;19
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;3;19
webserver_count_constraints_attr;3;21
webserver_count_constraints_attr;4;24
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;4;29
webserver_count_constraints_attr;5;23
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;2;21
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;3;19
webserver_count_constraints_attr;3;22
webserver_count_constraints_attr;3;19
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;3;21
webserver_count_constraints_attr;4;21
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;4;21
webserver_count_constraints_attr;4;19
webserver_count_constraints_attr;3;21
webserver_count_constraints_attr;3;23
webserver_count_constraints_attr;5;30
webserver_count_constraints_attr;5;21
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;4;21
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;3;23
webserver_count_constraints_attr;5;22
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;3;20
webserver_count_constraints_attr;5;21
webserver_count_constraints_attr;5;20
webserver_count_constraints_attr;3;22
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;3;21
webserver_count_constraints_attr;3;22
webserver_count_constraints_attr;5;23
webserver_count_constraints_attr;4;19
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;4;20
webserver_count_constraints_attr;4;21
pc_config;20;23
pc_config;17;23
pc_config;14;35
pc_config;14;28
pc_config;9;20
pc_config;13;25
pc_config;10;21
pc_config;7;18
pc_config;7;18
pc_config;11;22
pc_config;9;21
pc_config;7;19
pc_config;7;19
pc_config;8;20
pc_config;9;23
pc_config;7;20
pc_config;8;20
pc_config;7;19
pc_config;8;19
pc_config;7;19
pc_config;7;18
pc_config;7;17
pc_config;7;17
pc_config;5;19
pc_config;7;18
pc_config;9;19
pc_config;5;19
pc_config;6;19
pc_config;7;18
pc_config;6;21
pc_config;8;24
pc_config;7;20
pc_config;9;19
pc_config;6;19
pc_config;8;19
pc_config;7;21
pc_config;6;19
pc_config;6;18
pc_config;6;19
pc_config;7;20
pc_config;7;19
pc_config;6;18
pc_config;6;19
pc_config;7;21
pc_config;7;22
pc_config;7;20
pc_config;7;18
pc_config;6;17
pc_config;6;18
pc_config;6;18
pc_config;6;18
pc_config;6;19
pc_config;7;18
pc_config;7;18
pc_config;6;19
pc_config;6;19
pc_config;6;21
pc_config;6;18
pc_config;6;17
pc_config;6;18
pc_config;6;18
pc_config;6;18
pc_config;7;19
pc_config;6;24
pc_config;6;19
pc_config;6;18
pc_config;6;18
pc_config;7;18
pc_config;8;22
pc_config;6;20
pc_config;6;22
pc_config;5;18
pc_config;6;18
pc_config;5;18
pc_config;6;28
pc_config;5;20
pc_config;6;19
pc_config;6;18
pc_config;7;20
pc_config;7;26
pc_config;5;19
pc_config;6;19
pc_config;6;19
pc_config;7;18
pc_config;5;18
pc_config;7;24
pc_config;6;20
pc_config;6;19
pc_config;6;18
pc_config;6;21
pc_config;7;19
pc_config;5;18
pc_config;6;20
pc_config;5;19
pc_config;5;20
pc_config;6;18
pc_config;5;17
pc_config;6;17
pc_config;5;18
pc_config;5;19
pc_config_attr;55;104
pc_config_attr;22;97
pc_config_attr;19;108
pc_config_attr;14;93
pc_config_attr;15;87
pc_config_attr;13;95
pc_config_attr;12;91
pc_config_attr;12;92
pc_config_attr;13;89
pc_config_attr;12;94
pc_config_attr;12;89
pc_config_attr;17;118
pc_config_attr;13;96
pc_config_attr;15;103
pc_config_attr;11;88
pc_config_attr;12;125
pc_config_attr;11;91
pc_config_attr;13;89
pc_config_attr;16;97
pc_config_attr;13;105
pc_config_attr;15;91
pc_config_attr;12;99
pc_config_attr;13;98
pc_config_attr;12;95
pc_config_attr;12;95
pc_config_attr;13;90
pc_config_attr;12;92
pc_config_attr;12;86
pc_config_attr;12;90
pc_config_attr;11;85
pc_config_attr;12;93
pc_config_attr;18;118
pc_config_attr;12;89
pc_config_attr;10;88
pc_config_attr;12;89
pc_config_attr;11;87
pc_config_attr;11;88
pc_config_attr;12;116
pc_config_attr;10;87
pc_config_attr;11;87
pc_config_attr;11;93
pc_config_attr;12;86
pc_config_attr;10;87
pc_config_attr;13;90
pc_config_attr;12;89
pc_config_attr;11;90
pc_config_attr;11;89
pc_config_attr;11;96
pc_config_attr;11;90
pc_config_attr;11;93
pc_config_attr;13;107
pc_config_attr;12;97
pc_config_attr;11;88
pc_config_attr;13;105
pc_config_attr;11;90
pc_config_attr;11;93
pc_config_attr;12;88
pc_config_attr;11;89
pc_config_attr;11;90
pc_config_attr;12;94
pc_config_attr;12;92
pc_config_attr;11;88
pc_config_attr;12;93
pc_config_attr;14;92
pc_config_attr;13;89
pc_config_attr;12;90
pc_config_attr;11;96
pc_config_attr;12;88
pc_config_attr;12;88
pc_config_attr;11;94
pc_config_attr;13;95
pc_config_attr;12;91
pc_config_attr;27;137
pc_config_attr;13;97
pc_config_attr;11;97
pc_config_attr;13;113
pc_config_attr;13;115
pc_config_attr;11;87
pc_config_attr;15;97
pc_config_attr;13;93
pc_config_attr;11;89
pc_config_attr;12;91
pc_config_attr;11;90
pc_config_attr;11;88
pc_config_attr;11;89
pc_config_attr;11;91
pc_config_attr;12;87
pc_config_attr;11;88
pc_config_attr;11;95
pc_config_attr;12;89
pc_config_attr;12;88
pc_config_attr;12;88
pc_config_attr;13;91
pc_config_attr;11;88
pc_config_attr;11;90
pc_config_attr;12;97
pc_config_attr;12;87
pc_config_attr;11;89
pc_config_attr;10;90
pc_config_attr;14;94
pc_config_count_attr;27;145
pc_config_count_attr;19;156
pc_config_count_attr;14;127
pc_config_count_attr;17;136
pc_config_count_attr;15;128
pc_config_count_attr;14;131
pc_config_count_attr;15;128
pc_config_count_attr;15;129
pc_config_count_attr;14;126
pc_config_count_attr;15;128
pc_config_count_attr;13;125
pc_config_count_attr;14;127
pc_config_count_attr;14;130
pc_config_count_attr;13;128
pc_config_count_attr;13;132
pc_config_count_attr;13;127
pc_config_count_attr;14;136
pc_config_count_attr;14;128
pc_config_count_attr;13;130
pc_config_count_attr;13;127
pc_config_count_attr;14;136
pc_config_count_attr;15;138
pc_config_count_attr;17;141
pc_config_count_attr;16;138
pc_config_count_attr;16;143
pc_config_count_attr;14;126
pc_config_count_attr;14;128
pc_config_count_attr;14;127
pc_config_count_attr;14;129
pc_config_count_attr;14;131
pc_config_count_attr;14;130
pc_config_count_attr;14;135
pc_config_count_attr;13;130
pc_config_count_attr;14;135
pc_config_count_attr;15;129
pc_config_count_attr;14;136
pc_config_count_attr;14;130
pc_config_count_attr;14;137
pc_config_count_attr;14;129
pc_config_count_attr;15;132
pc_config_count_attr;14;129
pc_config_count_attr;14;130
pc_config_count_attr;13;131
pc_config_count_attr;15;131
pc_config_count_attr;14;130
pc_config_count_attr;14;131
pc_config_count_attr;14;134
pc_config_count_attr;13;128
pc_config_count_attr;14;136
pc_config_count_attr;15;142
pc_config_count_attr;16;151
pc_config_count_attr;13;128
pc_config_count_attr;15;132
pc_config_count_attr;14;127
pc_config_count_attr;15;131
pc_config_count_attr;15;139
pc_config_count_attr;17;131
pc_config_count_attr;13;128
pc_config_count_attr;13;129
pc_config_count_attr;13;130
pc_config_count_attr;15;131
pc_config_count_attr;15;135
pc_config_count_attr;14;131
pc_config_count_attr;14;130
pc_config_count_attr;14;133
pc_config_count_attr;14;138
pc_config_count_attr;14;130
pc_config_count_attr;13;140
pc_config_count_attr;14;132
pc_config_count_attr;14;137
pc_config_count_attr;14;133
pc_config_count_attr;14;138
pc_config_count_attr;14;134
pc_config_count_attr;15;138
pc_config_count_attr;14;131
pc_config_count_attr;13;137
pc_config_count_attr;15;131
pc_config_count_attr;14;135
pc_config_count_attr;14;131
pc_config_count_attr;14;136
pc_config_count_attr;14;133
pc_config_count_attr;14;130
pc_config_count_attr;15;133
pc_config_count_attr;14;130
pc_config_count_attr;14;141
pc_config_count_attr;13;132
pc_config_count_attr;14;139
pc_config_count_attr;14;131
pc_config_count_attr;13;137
pc_config_count_attr;14;133
pc_config_count_attr;16;136
pc_config_count_attr;13;132
pc_config_count_attr;16;131
pc_config_count_attr;14;131
pc_config_count_attr;13;130
pc_config_count_attr;14;132
pc_config_count_attr;14;132
pc_config_count_attr;14;131
pc_config_count_attr;14;133
pc_config_count_attr;15;141
